2026-03-24 10:53:32 | INFO    | cloud.protocols.http_protocol | ☁️  Cloud connector initialized — endpoint: https://api.datonis.io:443
2026-03-24 10:53:32 | INFO    | edge_server | Cloud connector initialized
2026-03-24 10:53:32 | INFO    | edge_server | Backfill engine initialized
2026-03-24 10:53:32 | INFO    | edge_server | Web application created
2026-03-24 10:53:32 | INFO    | core.watchdog | Watchdog: registered task 'cloud_pipeline'
2026-03-24 10:53:32 | INFO    | core.watchdog | Watchdog: registered task 'cloud_reconnect'
2026-03-24 10:53:32 | INFO    | core.watchdog | Watchdog: registered task 'backfill_monitor'
2026-03-24 10:53:32 | INFO    | core.watchdog | Watchdog: registered task 'adapters'
2026-03-24 10:53:32 | INFO    | core.watchdog | Watchdog: registered task 'cleanup'
2026-03-24 10:53:32 | INFO    | edge_server | Watchdog configured with all services
2026-03-24 10:53:32 | INFO    | core.watchdog | Watchdog: started task 'cloud_pipeline'
2026-03-24 10:53:32 | INFO    | core.watchdog | Watchdog: started task 'cloud_reconnect'
2026-03-24 10:53:32 | INFO    | core.watchdog | Watchdog: started task 'backfill_monitor'
2026-03-24 10:53:32 | INFO    | core.watchdog | Watchdog: started task 'adapters'
2026-03-24 10:53:32 | INFO    | core.watchdog | Watchdog: started task 'cleanup'
2026-03-24 10:53:32 | INFO    | cloud.protocols.http_protocol | Attempting cloud reconnect in 1s...
2026-03-24 10:53:32 | INFO    | adapters.base_adapter | Starting adapter 'OPC-UA Adapter' (febe99a5-4d80-4dad-b649-e20470011709)
2026-03-24 10:53:32 | INFO    | asyncua.client.client | connect
2026-03-24 10:53:32 | INFO    | asyncua.client.ua_client.UaClient | opening connection
2026-03-24 10:53:32 | INFO    | asyncua.uaprotocol | updating client limits to: TransportLimits(max_recv_buffer=65536, max_send_buffer=65536, max_chunk_count=0, max_message_size=4194240)
2026-03-24 10:53:32 | INFO    | asyncua.client.ua_client.UASocketProtocol | open_secure_channel
2026-03-24 10:53:32 | INFO    | asyncua.client.ua_client.UaClient | create_session
